Target,e-learning process,UEY,Major,Interested,Courses
400,1,2015,3,14,31
200,1,2016,3,11,22
400,1,2016,3,11,31
200,1,2017,3,11,26
400,1,2017,3,11,31
400,1,2021,3,11,31
400,0,2021,4,13,31
200,1,2015,3,14,26
400,1,2015,3,14,31
200,1,2017,7,19,26
200,1,2019,5,11,26
400,1,2019,5,11,32
200,1,2020,4,18,22
300,1,2020,4,18,29
200,1,2020,3,14,22
200,1,2021,9,11,22
200,1,2017,6,11,22
200,1,2017,6,11,26
200,1,2021,4,11,22
200,1,2021,4,11,26
300,1,2021,4,11,29
400,1,2021,4,11,31
200,1,2021,4,18,22
200,1,2021,4,18,26
300,1,2021,4,18,29
400,1,2021,4,18,31
200,1,2017,7,11,22
200,1,2018,3,18,22
200,1,2017,3,11,22
100,1,2021,3,16,23
200,1,2021,8,13,22
100,1,2021,8,13,23
100,1,2021,8,13,24
200,1,2018,3,11,22
400,1,2018,3,19,31
200,1,2021,3,14,22
200,1,2021,2,16,26
200,1,2017,3,14,22
200,1,2021,3,14,22
200,1,2017,3,11,22
200,1,2020,6,11,22
200,1,2015,3,11,22
200,1,2015,3,11,26
200,1,2019,3,11,26
200,1,2014,3,14,22
200,1,2021,3,11,22
200,1,2016,3,11,22
400,1,2016,3,11,31
200,1,2019,3,11,22
200,1,2021,6,11,26
200,1,2017,6,11,22
200,1,2019,6,11,22
200,1,2021,6,11,22
200,1,2021,3,14,22
200,1,2017,6,11,22
200,1,2017,6,11,26
200,1,2016,3,14,22
200,1,2020,3,11,22
200,1,2014,3,11,22
200,1,2014,9,13,22
200,1,2019,9,11,22
200,1,2016,9,11,22
200,1,2019,3,18,22
200,1,2020,4,18,22
300,1,2020,4,18,29
200,1,2021,4,11,22
100,1,2021,4,11,24
200,1,2021,4,18,22
100,1,2021,4,18,24
200,1,2021,6,11,26
200,1,2021,5,11,22
200,1,2021,4,18,22
200,1,2021,4,18,22
200,0,2021,8,11,26
300,0,2021,3,16,30
300,0,2021,3,19,30
200,1,2020,6,11,22
200,1,2020,3,11,22
200,1,2014,3,11,22
200,1,2014,3,11,26
200,1,2017,7,11,22
200,1,2016,3,14,22
200,1,2015,3,18,26
200,1,2017,4,11,22
300,1,2017,4,18,29
200,1,2014,5,19,22
200,1,2018,6,11,22
200,1,2015,9,20,22
400,1,2015,9,20,28
200,1,2016,3,11,22
200,1,2017,9,11,22
400,1,2017,9,12,28
200,1,2015,3,13,22
400,1,2021,9,14,28
200,1,2019,4,11,26
200,1,2018,5,11,22
400,1,2018,5,19,32
200,1,2021,5,11,22
200,1,2018,4,18,22
400,1,2021,2,17,32
200,1,2014,6,11,26
100,1,2021,2,12,25
200,1,2021,2,11,22
200,1,2020,5,13,22
200,1,2014,6,11,22
200,1,2017,4,11,22
200,1,2021,7,12,22
400,0,2021,4,13,31
400,1,2015,3,13,28
200,1,2021,6,11,26
200,1,2019,3,16,22
400,0,2021,4,13,31
200,1,2018,4,18,22
200,1,2021,4,16,22
200,1,2020,4,16,22
200,1,2020,4,18,22
200,1,2017,7,16,22
200,1,2017,7,16,26
100,1,2021,7,16,23
200,1,2017,7,11,22
200,1,2017,7,11,26
200,1,2019,4,18,22
200,1,2015,9,11,26
400,1,2015,9,12,28
200,1,2019,9,16,22
200,1,2018,6,18,22
100,1,2020,2,11,24
200,1,2020,9,11,22
400,1,2020,9,12,28
200,1,2017,3,13,22
400,0,2021,4,13,31
200,1,2021,7,16,26
200,1,2018,4,18,22
200,1,2018,4,11,22
100,1,2021,7,16,23
200,1,2021,4,16,22
300,1,2021,4,16,30
400,1,2020,5,11,32
200,1,2018,4,17,22
300,1,2018,4,17,30
200,1,2019,3,13,22
200,1,2021,3,14,22
200,1,2016,3,20,22
200,1,2019,6,11,26
200,1,2014,2,14,22
200,1,2014,2,14,26
300,1,2018,4,18,29
200,1,2019,5,11,26
400,1,2019,5,19,32
200,1,2016,4,18,22
200,1,2017,3,13,22
200,1,2021,10,16,22
100,1,2021,10,16,23
200,1,2015,10,16,26
400,1,2021,5,17,32
200,1,2020,10,16,22
100,1,2017,10,12,23
200,1,2014,3,11,26
200,1,2021,10,17,22
100,1,2018,3,16,23
100,1,2018,10,12,23
200,1,2016,10,16,26
200,1,2015,4,11,22
100,1,2020,7,16,23
200,1,2021,4,11,26
200,1,2019,4,16,22
100,1,2014,2,12,24
200,1,2015,6,11,26
200,1,2021,4,17,22
200,1,2015,4,11,22
400,1,2018,5,15,32
400,1,2018,5,19,32
400,1,2018,5,20,32
200,1,2014,4,11,22
300,1,2021,4,18,29
200,1,2021,4,16,22
200,1,2021,3,11,22
400,1,2021,3,11,28
300,1,2021,4,18,29
400,1,2021,3,14,28
200,1,2016,4,11,22
200,1,2016,4,11,26
200,1,2020,3,11,22
200,1,2021,4,16,22
100,1,2021,4,16,23
100,1,2019,3,13,21
100,1,2019,3,16,23
200,1,2019,3,16,26
200,1,2018,4,11,22
300,1,2021,4,18,29
200,1,2021,3,11,26
400,1,2021,3,12,28
100,1,2015,3,16,23
200,0,2021,6,13,22
200,1,2017,3,14,26
200,1,2016,3,11,22
200,1,2016,3,11,26
200,1,2018,3,14,26
100,1,2017,6,11,21
200,1,2015,3,11,22
200,1,2021,4,11,22
300,1,2021,4,18,29
400,1,2018,5,13,32
100,1,2021,5,16,23
200,1,2021,5,16,26
200,1,2015,3,14,22
400,1,2019,3,13,31
400,1,2019,3,20,31
200,1,2015,3,14,22
200,1,2016,2,11,22
300,1,2021,4,18,29
300,1,2021,4,18,29
200,1,2020,3,14,26
100,1,2020,3,16,23
200,1,2020,3,16,26
200,1,2016,3,16,22
